name,long,lat
acer rubrum,-90.24354311,38.59822108
acer rubrum,-90.24374559,38.59836082
other,-90.22482952,38.72732927
other,-90.22405694,38.727491
pyrus calleryana,-90.28995546,38.65929796
acer saccharum,-90.29286488,38.65958441
pyrus calleryana,-90.24929459,38.5837788
other,-90.23604616,38.71520409
fraxinus pennsylvanica,-90.23377236,38.71436501
other,-90.23803321,38.71554016
tilia cordata,-90.28396708,38.65378041
quercus palustris,-90.2775188,38.65313966
gleditsia triacanthos,-90.2739296,38.65294923
other,-90.29255055,38.65004723
other,-90.29136446,38.64992335
other,-90.25534517,38.60019927
other,-90.2520191,38.58482867
pyrus calleryana,-90.24938213,38.58367875
fraxinus pennsylvanica,-90.23398642,38.71334763
other,-90.20338122,38.74200295
other,-90.24461129,38.58471466
other,-90.2424587,38.58432503
other,-90.23981182,38.58215911
pyrus calleryana,-90.29056291,38.6541876
pyrus calleryana,-90.25498806,38.6030592
other,-90.25290913,38.6028672
pyrus calleryana,-90.25946865,38.60227555
acer rubrum,-90.26042861,38.60157677
other,-90.28292261,38.64957064
acer saccharum,-90.2844835,38.65230929
gleditsia triacanthos,-90.27376631,38.65291082
other,-90.28159948,38.65366997
other,-90.28067427,38.64813922
gleditsia triacanthos,-90.27940024,38.64800434
other,-90.24013674,38.71784152
quercus palustris,-90.23871568,38.71771183
tilia cordata,-90.28352288,38.64977677
other,-90.28400935,38.64859595
fraxinus pennsylvanica,-90.28374644,38.64844301
fraxinus pennsylvanica,-90.24022133,38.72144446
other,-90.27058124,38.65468514
quercus palustris,-90.28043167,38.65229014
quercus palustris,-90.28127722,38.65237484
other,-90.28663045,38.6540521
other,-90.28615765,38.654108
other,-90.24186127,38.59711422
other,-90.24285285,38.59339163
other,-90.24124038,38.59579426
gleditsia triacanthos,-90.24333481,38.59634194
other,-90.27096201,38.65242418
quercus palustris,-90.2800402,38.65226735
quercus palustris,-90.28169892,38.65241634
other,-90.2861577,38.65398074
other,-90.28599198,38.65420303
other,-90.29325156,38.65119005
pyrus calleryana,-90.25980321,38.60240113
tilia cordata,-90.24529321,38.5811825
fraxinus pennsylvanica,-90.24770569,38.58000496
other,-90.25739781,38.59595122
other,-90.29116888,38.65248773
pyrus calleryana,-90.26109303,38.60439191
pyrus calleryana,-90.25998107,38.6024164
other,-90.24560305,38.57973118
other,-90.24706054,38.57925094
acer platanoides,-90.24699864,38.58082627
other,-90.24868064,38.58188378
other,-90.24923217,38.58160676
acer saccharum,-90.25042944,38.58309791
